Unnamed: 0,Polish,English
2306,przeznaczenie ,destiny 
2307,najlepszych ,the best 
2308,zaczęła ,She began 
2309,seksu ,sex 
2310,duszę ,soul 
2311,poprzez ,by 
2312,moge ,I can 
2313,przynieść ,bring 
2314,samobójstwo ,suicide 
2315,napisał ,he wrote 
2316,robiłeś ,did you 
2317,ross ,ross 
2318,pełno ,full 
2319,rzeki ,rivers 
2320,wyciągnąć ,draw out 
2321,potrzebować ,need 
2322,córką ,daughter 
2323,książka ,book 
2324,zwierzęta ,Animals 
2325,podobało ,like 
2326,ruchu ,traffic 
2327,wyjdę ,I'll leave 
2328,zabijesz ,you will kill 
2329,długa ,long 
2330,setki ,hundreds 
2331,gwiazdy ,stars 
2332,załatwię ,I'll arrange it 
2333,bracia ,brethren 
2334,zabijać ,kill 
2335,wino ,wine 
2336,trzeci ,third 
2337,waszą ,yours 
2338,bond ,bond 
2339,stanów ,states 
2340,patrzę ,I'm looking 
2341,nawzajem ,Mutually 
2342,aha ,I see 
2343,kevin ,kevin 
2344,gliną ,clay 
2345,tamtego ,that one 
2346,ryby ,fish 
2347,morderstwa ,murders 
2348,podnieś ,pick up 
2349,annie ,annie 
2350,gdziekolwiek ,wherever 
2351,dwaj ,two 
2352,prawej ,right 
2353,kapitana ,captain 
2354,las ,forest 
2355,połowę ,half 
2356,subgroup ,subgroup 
2357,wyłącz ,off 
2358,niedobrze ,not good 
2359,udowodnić ,prove 
2360,walter ,walter 
2361,zabija ,kills 
2362,kurde ,damn 
2363,planety ,planets 
2364,proces ,process 
2365,zejdź ,come down 
2366,okoliczności ,circumstances 
2367,zmienił ,changed 
2368,książę ,prince 
2369,barze ,bar 
2370,siostrę ,sister 
2371,kościoła ,church 
2372,spodnie ,Pants 
2373,mieszkasz ,you live 
2374,kwestia ,issue 
2375,wyglądał ,looked 
2376,anglii ,england 
2377,patrzysz ,you look 
2378,bohaterem ,hero 
2379,sytuację ,situation 
2380,wątpliwości ,doubts 
2381,patrzy ,looks 
2382,sądziłem ,I thought 
2383,niebo ,sky 
2384,niezbyt ,not very 
2385,sumie ,all in all 
2386,ręka ,hand 
2387,pete ,pete 
2388,zadzwonił ,he called 
2389,jenny ,jenny 
2390,dachu ,roof 
2391,powrót ,return 
2392,słyszałaś ,you heard 
2393,ledwo ,barely 
2394,konieczne ,necessary 
2395,fps ,fps 
2396,widzieliście ,you saw 
2397,czyni ,makes 
2398,zmiana ,Change 
2399,zadać ,demand 
2400,sukinsynu ,son of a bitch 
2401,doprawdy ,really 
2402,mogliśmy ,we could 
2403,uczyć ,teach 
2404,pragnę ,I wish to 
2405,pogadamy ,we'll talk 
2406,umie ,knows 
2407,powinniście ,you should 
2408,wróciła ,she's back 
2409,tysiąc ,thousand 
2410,byliście ,you were 
2411,normalne ,normal 
2412,przedstawić ,present 
2413,matt ,Matt 
2414,zachód ,West 
2415,robert ,robert 
2416,prędzej ,sooner 
2417,zostałeś ,you stayed 
2418,prawdziwą ,true 
2419,amen ,Amen 
2420,sztuki ,art 
2421,sprawą ,thing 
2422,ryzyko ,risk 
2423,używać ,use 
2424,duch ,ghost 
2425,stole ,table 
2426,plaży ,beach 
2427,nosi ,wears 
2428,żebyście ,so that you 
2429,cofnąć ,undo 
2430,parku ,park 
2431,napić ,drink 
2432,wolne ,free 
2433,rzucić ,throw 
2434,zabieraj ,take it away 
2435,badań ,research 
2436,przyszłym ,future 
2437,próbujesz ,you try 
2438,porucznik ,lieutenant 
2439,poważne ,serious 
2440,dotąd ,so far 
2441,środek ,middle 
2442,bezpieczna ,secure 
2443,zamiaru ,intention 
2444,trzymam ,I'm holding it 
2445,umarła ,she died 
2446,dziewczynki ,girls 
2447,ukryć ,hide 
2448,wchodzę ,I'm coming in 
2449,sklepie ,shop 
2450,dotrzeć ,arrive 
2451,chwilą ,one sec 
2452,odpowiada ,replies 
2453,obrony ,defense 
2454,trzymasz ,you hold 
2455,pisać ,to write 
2456,pozwolenie ,permission 
2457,gadasz ,you're talking 
2458,waszego ,yours 
2459,winy ,guilt 
2460,mistrz ,master 
2461,mogłaś ,you could 
2462,życzę ,I wish 
2463,czasach ,times 
2464,funtów ,pounds 
2465,systemu ,system 
2466,imprezę ,party 
2467,jazdy ,driving 
2468,pozwala ,allows 
2469,jean ,jean 
2470,pomógł ,helped 
2471,dużą ,big 
2472,jacka ,jack 
2473,rozmowa ,conversation 
2474,jedi ,jedi 
2475,napisać ,write 
2476,darmo ,free 
2477,suko ,bitch 
2478,przygotuj ,prepare 
2479,fajne ,cool 
2480,słyszał ,he heard 
2481,dziwny ,weird 
2482,pewnym ,certain 
2483,grace ,Grace 
2484,którymi ,which 
2485,znacie ,you know 
2486,william ,william 
2487,władzy ,power 
2488,narkotyki ,drugs 
2489,alan ,alan 
2490,zrozumiano ,understood 
2491,służyć ,serve 
2492,dzwoń ,bell 
2493,drzwiami ,door 
2494,samych ,alone 
2495,bilety ,tickets 
2496,interesujące ,interesting 
2497,czekał ,he waited 
2498,znałem ,I knew 
2499,jezus ,Jesus 
2500,sercu ,heart 
2501,pewność ,confidence 
2502,przeprosić ,apologize 
2503,przeszłość ,past 
2504,jednostki ,units 
2505,czynienia ,dealing 
2506,uważać ,be careful 
2507,dziadek ,grandpa 
2508,pisze ,I'm writing 
2509,ciężkie ,heavy 
2510,znaleziono ,found 
2511,wybierasz ,you choose 
2512,chora ,sick 
2513,słuchasz ,you are listening 
2514,przyjąć ,accept 
2515,powietrza ,air 
2516,jaj ,eggs 
2517,smith ,smith 
2518,mając ,having 
2519,bać ,afraid 
2520,wieczoru ,evening 
2521,meksyku ,Mexico 
2522,zajmij ,occupy 
2523,projekt ,design 
2524,oczywiste ,obvious 
2525,gościem ,guest 
2526,pieprzone ,fucking 
2527,kelly ,kelly 
2528,kamery ,cameras 
2529,większe ,bigger 
2530,powodów ,reasons 
2531,dzieciaka ,kid 
2532,wejście ,entry 
2533,mylisz ,you're wrong 
2534,bedzie ,will be 
2535,thomas ,thomas 
2536,babcia ,grandmother 
2537,nosić ,to wear 
2538,znalazła ,she found it 
2539,klubu ,club 
2540,okazję ,opportunity 
2541,chłopcem ,boy 
2542,połowa ,half 
2543,niebie ,heaven 
2544,czyste ,clear 
2545,kolor ,color 
2546,cholerne ,damn 
2547,muzykę ,music 
2548,tv ,tv 
2549,drzewa ,trees 
2550,najlepszą ,the best 
2551,narkotyków ,drugs 
2552,niewiarygodne ,unbelievable 
2553,miami ,Miami 
2554,zrobione ,done 
2555,kumpel ,buddy 
2556,twego ,yours 
2557,lucy ,lucy 
2558,żałuję ,I regret 
2559,wschód ,east 
2560,klientów ,customers 
2561,władzę ,authorities 
2562,wymaga ,requires 
2563,biedny ,poor 
2564,uśmiech ,smile 
2565,zobaczył ,he saw 
2566,kupiłem ,I bought 
2567,pomyłka ,mistake 
2568,carl ,Carl 
2569,szeryfie ,Sheriff 
2570,nareszcie ,at last 
2571,pracowałem ,I was working 
2572,city ,city 
2573,zacznij ,start 
2574,poradzić ,help 
2575,święty ,holy 
2576,wyjątkiem ,except 
2577,bilet ,ticket 
2578,zginie ,will die 
2579,daniel ,daniel 
2580,żołnierze ,soldiers 
2581,mb ,meters 
2582,przyda ,useful 
2583,cudowne ,wonderful 
2584,łatwiej ,easier 
2585,wyglądało ,it looked like 
2586,złota ,gold 
2587,kolana ,knees 
2588,spędzić ,spend 
2589,przeżyć ,survive 
2590,sądzi ,he thinks 
2591,drużyny ,teams 
2592,wsparcie ,support 
2593,majorze ,Major 
2594,ofiar ,victims 
2595,wesołych ,Happy 
2596,odpowiedzialny ,responsible 
2597,ofiara ,victim 
2598,brakowało ,was missing 
2599,sekret ,secret 
2600,pierdolony ,fucking 
2601,powinny ,they should 
2602,oddech ,breath 
2603,zajęcia ,classes 
2604,ah ,ah 
2605,wykorzystać ,to use 
2606,raka ,cancer 
2607,chcieliśmy ,we wanted 
2608,muzyki ,music 
2609,dar ,gift 
2610,siostro ,sister 
2611,studia ,studies 
2612,będąc ,being 
2613,jason ,jason 
2614,red ,ed 
2615,znał ,he knew 
2616,jesli ,If 
2617,słyszy ,hears 
2618,Luke ,Luke 
2619,problemem ,problem 
2620,skrzywdzić ,hurt 
2621,potrafią ,they can 
2622,street ,street 
2623,czysto ,purely 
2624,Jackson ,Jackson 
2625,śledztwo ,investigation 
2626,siostrą ,sister 
2627,wolałbym ,I would rather 
2628,Susan ,Susan 
2629,próba ,attempt 
2630,sił ,forces 
2631,piersi ,breasts 
2632,działo ,gun 
2633,stopy ,feet 
2634,twoimi ,yours 
2635,najmniej ,least 
2636,dziewczyn ,girls 
2637,witajcie ,Hello 
2638,plecy ,back 
2639,Elizabeth ,Elizabeth 
2640,bogiem ,god 
2641,dali ,they gave 
2642,pijany ,drunk 
2643,wyspie ,island 
2644,punkcie ,point 
2645,zabójca ,killer 
2646,kościół ,church 
2647,winien ,should 
2648,wszedł ,he came in 
2649,dziwka ,whore 
2650,oddychać ,breathe 
2651,służby ,services 
2652,duszy ,soul 
2653,zdarzyło ,happened 
2654,zagrać ,play 
2655,umrę ,I will die 
2656,Lisa ,Lisa 
2657,pełna ,full 
2658,pokład ,deck 
2659,szacunku ,respect 
2660,odbiło ,it rebounded 
2661,pozwolisz ,you will allow it 
2662,klubie ,club 
2663,czytałem ,I read 
2664,wiedziałaś ,you knew 
2665,rąk ,cancer 
2666,zasad ,rules 
2667,zdjęć ,photos 
2668,osobę ,person 
2669,małej ,little one 
2670,zróbcie ,do it 
2671,wróciłeś ,you're back 
2672,dostałam ,I received 
2673,wielkiej ,great 
2674,kontynuować ,to continue 
2675,Ryan ,Ryan 
2676,oddychaj ,breathe 
2678,terry ,Terry 
2679,idealnie ,perfectly 
2680,udawać ,to pretend 
2681,imienia ,names 
2682,zapytaj ,ask 
2683,francji ,France 
2684,udać ,succeed 
2685,kontrolować ,control 
2686,matko ,mother 
2687,pojadę ,I will go 
2688,anna ,Anna 
2689,zauważyłem ,I noticed 
2690,boku ,side 
2691,działania ,actions 
2692,uszy ,ears 
2693,zdjąć ,take off 
2694,cud ,miracle 
2695,wysoko ,high 
2696,poszedłem ,I went 
2697,movie ,movie 
2698,akt ,Act 
2699,drużyna ,team 
2700,pułkownik ,colonel 
2701,jasno ,brightly 
2702,park ,Park 
2703,latać ,fly 
2704,filmie ,movie 
2705,wydawało ,it seemed 
2706,zachowanie ,behavior 
2707,doszło ,it happened 
2708,okna ,windows 
2709,przyjaciółka ,friend 
2710,scott ,scott 
2711,strona ,side 
2712,impreza ,party 
2713,suka ,female dog 
2714,ciśnienie ,pressure 
2715,angielsku ,English 
2716,przypuszczam ,I suppose 
2717,posłuchajcie ,listen 
2718,uważnie ,carefully 
2719,kartę ,card 
2720,dupie ,ass 
2721,dziewięć ,nine 
2722,kamień ,stone 
2723,ludzkie ,human 
2724,upewnić ,make sure 
2725,zapłacę ,I will pay 
2726,autobus ,bus 
2727,tęsknię ,I miss 
2728,południu ,noon 
2729,żonaty ,married 
2730,rachunek ,Bill 
2731,próbowałam ,I tried 
2732,dajesz ,you give 
2733,wierz ,believe 
2734,liceum ,high school 
2735,wziąłem ,I took it 
2736,złoto ,gold 
2737,odpowiedzieć ,reply 
2738,biorąc ,taking 
2739,stała ,constant 
2740,zabiła ,she killed 
2741,nadziei ,hope 
2742,ściany ,walls 
2743,wykonać ,perform 
2744,oddam ,I will give 
2745,odpocząć ,to rest 
2746,zło ,evil 
2747,miej ,have 
2748,mieszkaniu ,apartment 
2749,cofnij ,undo 
2750,profesor ,professor 
2751,zrobienia ,to do 
2752,ważny ,important 
2753,krwią ,blood 
2754,zeszłej ,last 
2755,piekło ,hell 
2756,wakacje ,holidays 
2757,przedtem ,before 
2758,pozwólcie ,let me 
2759,pamiętać ,remember 
2760,oby ,may 
2761,ust ,paragraph 
2762,dzieła ,works 
2763,um ,um 
2764,wprost ,directly 
2765,pełni ,full 
2766,najgorsze ,the worst 
2767,tylu ,so many 
2768,obecnie ,Currently 
2769,scenariusz ,scenario 
2770,helen ,Helen 
2771,misja ,mission 
2772,kłamiesz ,you're lying 
2773,pojawił ,appeared 
2774,grozi ,threatens 
2775,piekła ,hell 
2776,operacja ,operation 
2777,wozu ,car 
2778,sąd ,court 
2779,chłopie ,boy 
2780,byle ,any 
2781,hank ,Hank 
2782,pośpiesz ,hurry up 
2783,karen ,Karen 
2784,ciemności ,darkness 
2785,okiem ,eye 
2786,pozycji ,position 
2787,przedstawienie ,show 
2788,zasada ,principle 
2789,chłopców ,boys 
2790,bomby ,bombs 
2791,żonie ,wife 
2792,kluczyki ,keys 
2793,klasie ,class 
2794,ostatniego ,the last one 
2795,ed ,ed 
2796,prawdziwego ,real 
2797,kochał ,he loved 
2798,znają ,know 
2799,mężczyznę ,man 
2800,mądry ,wise 
2801,grasz ,you play 
2802,palców ,fingers 
2803,idiota ,idiot 
2804,łóżko ,bed 
2805,wodą ,water 
2806,odciski ,prints 
2807,mieszkać ,to live 
2808,morderca ,murderer 
2809,przypadkiem ,by chance 
2810,wolna ,Free 
2811,połowie ,half 
2812,szkołę ,School 
2813,wyłączyć ,turn off 
2814,prysznic ,shower 
2815,johna ,john 
2816,pokonać ,defeat 
2817,ramię ,arm 
2818,mamusiu ,Mommy 
2819,przyszłam ,I came 
2820,słodkie ,sweet 
2821,kawałki ,pieces 
2822,pańskiej ,yours 
2823,piwnicy ,basement 
2824,wysłał ,sent 
2825,zegarek ,watch 
2826,dookoła ,around 
2827,ciężki ,heavy 
2828,polega ,depends 
2829,stopni ,degrees 
2830,samochodem ,by car 
2831,nazywał ,he called 
2832,połączenie ,connection 
2833,plus ,plus 
2834,zastanawiałem ,I wondered 
2835,przerwy ,breaks 
2836,prawdą ,True 
2837,rada ,advice 
2838,pyta ,he asks 
2839,postawić ,put 
2840,ukradł ,stole 
2841,urządzenie ,device 
2842,przystojny ,handsome 
2843,agencie ,agent 
2844,umrzesz ,you will die 
2845,siedział ,he was sitting 
2846,simon ,Simon 
2847,własnych ,own 
2848,lotnisko ,airport 
2849,phoebe ,phoebe 
2850,zapomniałeś ,you forgot 
2851,kupił ,bought 
2852,punktu ,point 
2853,chwile ,moments 
2854,zakupy ,shopping 
2855,szukają ,they are looking for 
2856,okazało ,it turned out 
2857,poniedziałek ,Monday 
2858,palce ,fingers 
2859,pojedziemy ,we will go 
2860,ręką ,hand 
2861,adam ,Adam 
2862,tajemnicy ,secret 
2863,poprostu ,simply 
2864,wstać ,get up 
2865,drzewo ,tree 
2866,odpowiedz ,answer 
2867,zmęczona ,tired 
2868,skończyła ,she ended 
2869,szpital ,hospital 
2870,wujku ,uncle 
2871,trakcie ,during 
2872,zostawiłem ,I left 
2873,kosztuje ,costs 
2874,okropnie ,terrible 
2875,dają ,they give 
2876,kolejna ,next 
2877,wychodzić ,go out 
2878,gazety ,newspapers 
2879,okres ,period 
2880,przyjdziesz ,will you come 
2881,miejsc ,places 
2882,działają ,they work 
2883,matce ,mother 
2884,bronić ,defend 
2885,zjednoczonych ,united 
2886,rzeczywistości ,reality 
2887,wpadł ,he fell in 
2888,tańczyć ,dance 
2889,ameryce ,america 
2890,goście ,guests 
2891,twarzą ,face 
2892,uwolnić ,release 
2893,zacznę ,I'll start 
2894,przerwę ,break 
2895,ochrona ,security 
2896,detektywie ,detective 
2897,komórki ,cells 
2898,zakończyć ,end 
2899,prosił ,asked 
2900,litość ,mercy 
2901,niedawno ,recently 
2902,obrazy ,pictures 
2903,alice ,alice 
2904,zabawny ,funny 
2905,ono ,it 
2906,pełen ,full 
2907,gejem ,gay 
2908,piosenkę ,song 
2909,zapomniałam ,I forgot 
2910,rozmawiam ,I'm talking 
2911,samochody ,cars 
2912,wziąłeś ,you took it 
2913,spotkaliśmy ,we met 
2914,szacunkiem ,respect 
2915,większy ,greater 
2916,królowa ,queen 
2917,próbuj ,try 
2918,zdaniem ,in my opinion 
2919,łazienki ,bathrooms 
2920,wpaść ,drop by 
2921,taniec ,dance 
2922,para ,couple 
2923,czysta ,clean 
2924,używa ,use 
2925,szczery ,honest 
2926,siła ,force 
2927,herbaty ,tea 
2928,chciałabyś ,you would like to 
2929,czekałem ,I waited 
2930,dźwięk ,sound 
2931,tamten ,that 
2932,wspomnienia ,memories 
2933,odeszła ,she left 
2934,położyć ,put 
2935,sześciu ,six 
2936,kłamstwo ,lie 
2937,dotyczy ,refers to 
2938,rusza ,moves 
2939,leki ,medicines 
2940,siedzisz ,you are sitting 
2941,nagrodę ,award 
2942,bar ,bar 
2943,pracujemy ,we are working 
2944,operację ,operations 
2945,programu ,program 
2946,żyjemy ,we are alive 
2947,wywiad ,interview 
2948,robin ,robin 
2949,jemu ,him 
2950,celi ,cell 
2951,wstyd ,shame 
2952,dawać ,give 
2953,pilnuj ,look after 
2954,swojemu ,to your own 
2955,chłopakiem ,boyfriend 
2956,com ,com 
2957,palec ,finger 
2958,radzę ,I advise 
2959,muzeum ,museum 
2960,cierpię ,I'm suffering 
2961,przyszło ,it came 
2962,show ,show 
2963,zmarła ,died 
2964,walkę ,fight 
2965,rządu ,government 
2966,znieść ,bear 
2967,aresztowany ,arrested 
2968,julie ,Julie 
2969,przyjdź ,come 
2970,ważnego ,important 
2971,grane ,played 
2972,sierżant ,sergeant 
2973,pomóżcie ,help 
2974,marty ,Marty 
2975,starym ,old 
2976,dostaje ,gets 
2977,dupkiem ,asshole 
2978,pozycję ,position 
2979,starych ,old ones 
2980,chuja ,dick 
2981,piękną ,Beautiful 
2982,przeczytać ,read 
2983,odwiedzić ,visit 
2984,ostrożny ,careful 
2985,opowiedzieć ,tell 
2986,kolacji ,dinner 
2987,podobnie ,similarly 
2988,weźmiemy ,we will take it 
2989,klub ,club 
2990,sa ,are 
2991,szukałem ,I was looking 
2992,bycia ,being 
2993,poważny ,serious 
2994,talent ,talent 
2995,braci ,brothers 
2996,tatą ,dad 
2997,przyjaciółką ,friend 
2998,białe ,White 
2999,załatwione ,settled 
3000,wiarę ,faith 
3001,szybki ,fast 
3002,jeff ,jeff 
3003,porze ,time 
3004,łączy ,combines 
3005,wayne ,Wayne 
3006,your ,your 
3007,aie ,aie 
3008,ksiądz ,priest 
3009,widzieli ,they saw 
3010,nancy ,nancy 
3011,starszy ,older 
3012,skończyliśmy ,we're done 
3013,walczył ,fought 
3014,przyjechałem ,I arrived 
3015,betty ,Betty 
3016,ważna ,important 
3017,gwiazda ,star 
3018,wysokości ,height 
3019,akcja ,share 
3020,wszelkie ,any 
3021,wymiar ,dimension 
3022,płacą ,wage 
3023,zaczekajcie ,Wait 
3024,filmy ,movies 
3025,sprawiedliwości ,justice 
3026,zwycięstwo ,victory 
3027,rozwiązanie ,solution 
3028,lotu ,flight 
3029,przenieść ,move 
3030,mężczyzny ,man 
3031,that ,that 
3032,pokaz ,show 
3033,wydział ,department 
3034,materiał ,material 
3035,clark ,clark 
3036,smakuje ,tastes good 
3037,swe ,theirs 
3038,kyle ,Kyle 
3039,bezpieczeństwo ,security 
3040,poprosić ,ask 
3041,michelle ,michelle 
3042,wdzięczny ,grateful 
3043,zechce ,he wants 
3044,wycofać ,withdraw 
3045,czerwone ,Red 
3046,skończę ,I'll finish 
3047,bądźcie ,be 
3048,żywo ,live 
3049,miejscach ,places 
3050,walce ,fights 
3051,rozmawiamy ,we are talking 
3052,ucieka ,runs away 
3053,oficer ,officer 
3054,podpisać ,sign 
3055,przeze ,by 
3056,kłamie ,he's lying 
3057,zaczynasz ,you start 
3058,umieram ,I'm dying 
3059,dziennie ,daily 
3060,królową ,queen 
3061,skończyło ,it's over 
3062,wybaczcie ,excuse me 
3063,dowiem ,I will find out 
3064,samotny ,lonely 
3065,misję ,missions 
3066,istnieją ,they exist 
3067,kochana ,dear 
3068,nauczył ,taught 
3069,stu ,hundred 
3070,prosi ,asks 
3071,piwa ,beer 
3072,snu ,sleep 
3073,siedzę ,I'm sitting 
3074,główny ,main 
3075,zrozumiałeś ,you understood 
3076,przysłał ,he sent 
3077,odwróć ,reverse 
3078,sypialni ,bedroom 
3079,szczegóły ,details 
3080,wypuść ,let out 
3081,niebezpieczny ,dangerous 
3082,paryżu ,paris 
3083,londynie ,London 
3084,dwadzieścia ,twenty 
3085,dzwonić ,call 
3086,sensie ,sense 
3087,sprawach ,cases 
3088,ślubu ,wedding 
3089,kolejną ,next 
3090,zabity ,killed 
3091,pociągu ,train 
3092,poprawki ,amendments 
3093,wart ,worth 
3094,styl ,style 
3095,zamierza ,intends to 
3096,nakaz ,warrant 
3097,deszcz ,rain 
3098,dach ,roof 
3099,koszmar ,nightmare 
3100,dobrzy ,good ones 
3101,maszyny ,machinery 
3102,udaje ,pretends 
3103,kręci ,is spinning 
3104,bombę ,bomb 
3105,załóż ,put on 
3106,prowadzę ,I'm driving 
3107,specjalny ,special 
3108,wiecznie ,eternally 
3109,tim ,tim 
3110,wodzie ,water 
3111,spod ,bottom 
3112,znany ,known 
3113,kłopot ,trouble 
3114,bzdura ,nonsense 
3115,czekasz ,you are waiting 
3116,rolę ,role 
3117,zwrócić ,return 
3118,ekstra ,extra 
3119,pozostać ,stay 
3120,dostaniemy ,we will get it 
3121,mm ,mm 
3122,kawa ,coffee 
3123,włosów ,hair 
3124,mogły ,they could 
3125,żadnym ,none 
3126,robiła ,she did 
3127,starczy ,senile 
3128,ciemno ,dark 
3129,oka ,eye 
3130,nosa ,nose 
3131,pogrzeb ,funeral 
3132,gram ,gram 
3133,sieci ,networks 
3134,louis ,Louis 
3135,swej ,his own 
3136,kontrolą ,control 
3137,naturalnie ,naturally 
3138,zamknięty ,closed 
3139,podstawie ,basis 
3140,martwa ,dead 
3141,musieliśmy ,we had to 
3142,zajęta ,busy 
3143,użyj ,use 
3144,słyszeliście ,you heard 
3145,odrobinę ,a little bit 
3146,następnie ,then 
3147,zejść ,get down 
3148,skóry ,skin 
3149,rozmawiał ,he talked 
3150,wchodzimy ,let's go in 
3151,maria ,maria 
3152,love ,love 
3153,straszny ,terrifying 
3154,ochronę ,protection 
3155,konie ,horses 
3156,słaby ,weak 
3157,bruce ,Bruce 
3158,weźmiesz ,you will take it 
3159,zabieram ,I'm taking 
3160,reszty ,the rest 
3161,roy ,Roy 
3162,okazja ,opportunity 
3163,rogu ,corner 
3164,wieki ,centuries 
3165,gordon ,gordon 
3166,przyjedzie ,will come 
3167,lesie ,Forest 
3168,ratować ,rescue 
3169,obiecaj ,promise 
3170,cole ,cole 
3171,piętro ,floor 
3172,zwykły ,ordinary 
3173,dowiemy ,we'll find out 
3174,imperium ,empire 
3175,weźcie ,take it 
3176,nadzieje ,hope 
3177,strata ,loss 
3178,swą ,hers 
3179,nienawidzi ,hates 
3180,zaczynaj ,start 
3181,przybył ,arrived 
3182,ludziach ,people 
3183,zresztą ,anyway 
3184,klient ,Client 
3185,zwierząt ,animals 
3186,artykuł ,article 
3187,zgadnij ,guess 
3188,beze ,meringue 
3189,podnieść ,pick up 
3190,złą ,bad 
3191,byc ,to be 
3192,złap ,catch 
3193,spacer ,walk 
3194,przyjechać ,come 
3195,but ,shoe 
3196,gadaj ,talk 
3197,kula ,ball 
3198,pozwolił ,he let 
3199,wyżej ,higher 
3200,typu ,type 
3201,kilometrów ,kilometers 
3202,naszymi ,ours 
3203,świadków ,witnesses 
3204,ciele ,calf 
3205,szacunek ,respect 
3206,sara ,sara 
3207,ucieczki ,escape 
3208,czarne ,black 
3209,dumna ,proud 
3210,zajmiemy ,we will take care of it 
3211,wytłumaczyć ,explain 
3212,nadejdzie ,will come 
3213,faktycznie ,really 
3214,czułam ,I felt 
3215,agenta ,agent 
3216,uważajcie ,be careful 
3217,złych ,bad ones 
3218,przejście ,transition 
3219,zapewniam ,I assure you 
3220,prosimy ,please 
3221,takimi ,like this 
3222,man ,man 
3223,koledzy ,friends 
3224,śmierdzi ,stink 
3225,rozumiecie ,you understand 
3226,miesiącu ,month 
3227,księżyc ,moon 
3228,silnik ,engine 
3229,Harvey ,Harvey 
3230,Sean ,Sean 
3231,pomimo ,despite 
3232,wiek ,age 
3233,rzeczach ,things 
3234,kurwy ,whores 
3235,wezwać ,call 
3236,widzą ,they see 
3237,Phil ,Phil 
3238,I'm ,Them 
3239,zamek ,lock 
3240,decyzji ,decision 
3241,zwolnij ,Slow 
3242,przyjdą ,they will come 
3243,dostała ,she got it 
3244,terenie ,area 
3245,zaczniesz ,you will start 
3246,fair ,fair 
3247,amerykanie ,Americans 
3248,czarna ,black 
3249,śladów ,traces 
3250,gwiazdą ,star 
3251,Molly ,Molly 
3252,generała ,general 
3253,cycki ,tits 
3254,gramy ,grams 
3255,przypomnieć ,to remind 
3256,świętego ,saint 
3257,przeczucie ,hunch 
3258,lecimy ,we fly 
3259,warunki ,conditions 
3260,łapy ,paws 
3261,niemal ,almost 
3262,powrotu ,return 
3263,zabierze ,will take 
3264,skończysz ,you're done 
3265,dzieciaku ,kid 
3266,sztuka ,piece 
3267,mile ,nice 
3268,sprawić ,make 
3269,lepsza ,better 
3270,podobne ,similar 
3271,skorzystać ,take advantage 
3272,sekundy ,seconds 
3273,kot ,cat 
3274,Jackie ,Jackie 
3275,rock ,rock 
3276,małych ,small ones 
3277,głośno ,loudly 
3278,planecie ,planet 
3279,gaz ,gas 
3280,zaczynają ,starting 
3281,szukał ,he was looking 
3282,smutne ,sad 
3283,osobiste ,personal 
3284,obcy ,stranger 
3285,czwartek ,Thursday 
3286,wyobraź ,imagine 
3287,powietrzu ,air 
3288,granicy ,border 
3289,pacjent ,patient 
3290,następna ,next 
3291,pojęcie ,concept 
3292,tytuł ,title 
3293,usłyszałem ,I heard 
3294,okulary ,glasses 
3295,zrozum ,understand 
3296,taylor ,taylor 
3297,zespołu ,team 
3298,trzymał ,held 
3299,wracajcie ,come back 
3300,pańskiego ,yours 
3301,źródło ,source 
3302,testy ,tests 
3303,niewinny ,innocent 
3304,pali ,smokes 
3305,kalifornii ,california 
3306,obecność ,presence 
3307,wojska ,army 
3308,ilość ,quantity 
3309,żywy ,alive 
3310,bawi ,entertains 
3311,wolisz ,you prefer 
3312,włóż ,put on 
3313,sędzia ,judge 
3314,towarzystwo ,company 
3315,zainteresowany ,interested 
3316,niemcy ,Germany 
3317,minął ,passed 
3318,pewni ,sure 
3319,kochałem ,I loved 
3320,piętrze ,floor 
3321,oszalałeś ,you're crazy 
3322,ranka ,morning 
3323,głównie ,mainly 
3324,marzenia ,dreams 
3325,dowiedział ,found out 
3326,sukces ,success 
3327,złożyć ,fold 
3328,fajny ,cool 
3329,mulder ,mulder 
3330,zastrzelić ,shoot 
3331,procent ,percent 
3332,doświadczenie ,experience 
3333,idioto ,idiot 
3334,obóz ,camp 
3335,grał ,played 
3336,mac ,mother 
3337,straciłeś ,you lost 
3338,zapewnić ,to ensure 
3339,polu ,field 
3340,wyjaśnię ,I'll explain 
3341,obiecałem ,I promised 
3342,nagranie ,recording 
3343,wilson ,Wilson 
3344,szansy ,chance 
3345,kolacja ,Dinner 
3346,pewną ,certain 
3347,picia ,drinking 
3348,bałagan ,mess 
3349,biznes ,business 
3350,zostaliśmy ,we stayed 
3351,kochany ,Dear 
3352,glina ,clay 
3353,uspokoić ,calm down 
3354,trafił ,hit 
3355,skomplikowane ,complicated 
3356,koń ,horse 
3357,wal ,shaft 
3358,uderzył ,hit 
3359,czek ,check 
3360,pas ,crimson 
3361,płaci ,pays 
3363,zostawiła ,left 
3364,sobotę ,Saturday 
3365,przeżył ,survived 
3366,św ,Saint 
3367,nazywać ,call 
3368,połączyć ,to combine 
3369,wyspy ,islands 
3370,wychodzimy ,we're leaving 
3371,rzadko ,rarely 
3372,odwagi ,courage 
3373,nazwać ,name 
3374,powoduje ,causes 
3375,pozostałych ,others 
3376,jork ,york 
3377,nauki ,science 
3378,zadziała ,it will work 
3379,pracują ,they work 
